,context,question,answerA,answerB,answerC,correct
51,"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head.",What will Skylar want to do next?,Run away,Wait for a reaction,wanted to fight with the bully,A
52,"Remy gave you Skylar account for netflix, so you wouldn't have to pay for your own account.",How would you describe Remy?,feeling bored,feeling loved,cheated,C
53,Skylar was on the phone while at the national park. They lent little attention to the view.,What will Skylar want to do next?,get Skylar off the phone,sleep,build,A
54,"Sydney works as a preschool teacher, and helped trace Robin's fingers.",Why did Sydney do this?,make popcorn,teach her class the alphabet,make artwork,C
55,Jan was pregnant and she gave birth to a beautiful baby daughter.,How would you describe Jan?,a mother,exhausted,ready to take a spin class,A
56,Kendall was really into house plants and often pour water in to jars so the fluoride would evaporate out.,What will Kendall want to do next?,watered a few of the plants,gather jars,watered a few of her pets,A
57,"Knowing skylar would want to go too, Kendall took Skylar into account.",Why did Kendall do this?,kendall who has want to skylar,get this over with,help skylar,C
58,Aubrey was a police officer. She pulled Casey over for speeding in a construction zone.,What will Casey want to do next?,keep construction workers safe,speed off,make an excuse,C
59,Riley granted Jan the highest title of the kingdom and celebrated with a feast.,What will Jan want to do next?,celebrate all night with the kingdom,proud,indifferent,A
60,"After being kicked out of the house by his parents, Jordan needed a place to live.",How would you describe Jordan?,quite lazy,sad,extremely hardworking,B
61,Remy gave birth to a baby girl on a Saturday afternoon.,What does Remy need to do before this?,leave her husband,did this to start a family,go to the hospital,C
62,Alex was no longer raising Sasha but she did give birth to Sasha.,What will Alex want to do next?,build a relationship with Sasha,Ask to visit Sasha,Kidnap Sasha from home,B
63,Jordan gave Robin advice about a job interview as Jordan already worked at the company and knew the questions that would be asked at teh interview stage.,How would Robin feel afterwards?,disgusted,be prepared,supported,C
64,Cameron went out of her way to buy food for the homeless.,How would Cameron feel afterwards?,mad,upset,happy,C
65,Sydney played Kendall's heart when she pretended to be interested in him at the party.,What will happen to Kendall?,be angry at Sydney,be excited,date Sydney,A
66,Cameron's parents told them to do well at school or they would be grounded.  Cameron took their words seriously.,What will happen to Cameron?,listen or face severe punishment,study very hard,have his assignments done by their classmates,B
67,Jan took me to NYC to celebrate my birthday before the baby was born.,What will Others want to do after?,leave me in NYC,wish me a happy birthday,get a flight to NYC,B
68,It was a pretty sunny day outside. Quinn walked instead.,What does Quinn need to do before this?,have fun,notice the sun,move their feet,C
69,Kai was grounded after wrecking his mother's car so he handed back the keys.,What will Kai want to do next?,wanted to stay out of trouble,work hard at home,rent out the car,A
70,Jordan got his leg bitten off by a shark while he was surfing. Jordan made light of the handicap.,Why did Jordan do this?,show that he only needed one leg,needed to have a surf board,not show others he was suffering,C
71,Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation.,How would Skylar feel as a result?,grateful to Kendall,excited about work,that they are looking forward to their vacation,A
72,But she didn't want to be on the team so walked off the court.,Why did Aubrey do this?,wanted to spend more time at home,wanted to win the championship,Being on the team was her big dream,A
73,Carson was at a friend's house across town from where he lived playing video games.,How would Carson feel afterwards?,sad that he will have to stop playing video games,too dark outside,ready to go for a short stroll back to his home,A
74,Kendall took their dog to the new dog park in the neighborhood.,What will Kendall want to do next?,Give it a bath,walk their dog,meet other dog owners,C
75,"Robin's brother was hungry, too, so Robin cut the sandwich in half.",How would Robin feel afterwards?,accommodating,Hungry,friendly,A
76,Addison regarded every girl as somebody who should be treated by their actions.,How would Others feel as a result?,bored now,loved now,passive now,B
77,Remy challenged them to a game and then beat them so much.,How would they feel as a result?,weak,proud,happy,A
78,Casey gave some money to Jesse so she could go to the movie.,How would you describe Casey?,thankful,greedy,giving,C
79,Lee gave birth to ten babies over a span of ten years.,How would you describe Lee?,barren,caring,would love her children,C
80,Cameron wore some very heavy clothes even thought it was hot outside and he would sweat heavily outside.,How would Others feel as a result?,thinks differently,awkward,hungry,B
81,Remy understood every mystery because she was a famous mystery writer.,What will Others want to do after?,ask Remy more,destroy Remy's books,be a mystery writer,A
82,"Kendall persisted after being told no, and eventually had a positive effect on Lee.",What will Lee want to do next?,Give into Kendall,Give a punch to Kendall's face,Refuse to help Kendall,A
83,Alex worshiped Jesus in their way even though everyone said it was the wrong way to do it.,What will Alex want to do next?,ale who has worshiped jesus,be discouraged by others,not listen to others,C
84,Cameron got a new video game and wanted to spend the night playing it.,How would Cameron feel afterwards?,tired,addicted to video games,a gamer,C
85,Alex grew closer to their significant other after they vacationed together.,How would Alex feel afterwards?,in love,happy,back from vacation,A
86,Aubrey got gas at the station and got some snacks for the drive.,Why did Aubrey do this?,find a gas station to stop at,make a snack,have fuel,C
87,Riley regarded Jesse with observant eyes then smiled after they ate the last cookie.,How would you describe Riley?,As talkative,As silly,like a person who was thoughtful,B
88,Aubrey fed Tracy's kids spaghetti after the baseball practice.,How would Tracy feel as a result?,Like she was ignored,No one cared about her,Relieved,C
89,Quinn cried their eyes out and ate a whole carton of icecream over her breakup.,What will Quinn want to do next?,get back together with her boyrfrined,purchase ice cream,keep crying,C
90,remy had a good talk with aubrey so aubrey understood remy better now.,How would Remy feel as a result?,unsatisfied,calm,anxious,B
91,Alex took care of the children after school so that their parents could continue to work.,What will Alex want to do next?,go home,play games with the kids,fight the parents,B
92,Taylor taught math in the schools where underprivileged children studied.,How would Taylor feel afterwards?,frustrated by her inexperience teaching,jealous of teachers that are not in the school,impacting the community,C
93,"Jan fastened the anniversary necklace around Sydney's neck, amid her tears of joy and exclamations of how beautiful it was.",What will Sydney want to do next?,she will cry and run away,she will thank her for the necklace,they'll get a kiss,B
94,Kendall didn't get the job despite the interviewer telling her she was qualified.,How would the interviewer feel as a result?,like Kendall was the best,happy for Kendall,like they lied to Kendall,C
95,Riley talked to their friends about what they should do that night.,Why did Riley do this?,go out,do something fun,hang out,B
96,Remy went into town and found a fun place to get treats and ate some ice cream.,What does Remy need to do before this?,settle down,have excitement,lock his house when leaving,C
97,Carson was at a friend's house playing video games to get away from his arguing parents.,What does Carson need to do before this?,try a different game,run over to his friends house,stretch out the time at their friends,B
98,Taylor taught math in the schools and got a lot of praise for his style of teaching.,Why did Taylor do this?,loved,continue teaching,educate other teachers,B
99,Robin pulled Carson over for speeding and then didnt write him a ticket.,Why did Robin do this?,thought he was cute,issue a warning,hated him,B
100,Robin left food out for the animals in her backyard to come and enjoy.,What will Robin want to do next?,chase the animals away,watch the animals eat,go out in the backyard,B
101,Alex spent a minute thinking and finally decided to take action over it.,Why did Alex do this?,have free time,wanted to have the best response,wanted to be foolhardy,B
102,Bailey was not doing well at work but wanted to change the perspective to feel better.,How would you describe Bailey?,confident,worried,confident,B
103,Sydney is a fan of Hillary Clinton. One day she found a biography of Hillary Clinton. Sydney wanted to read it.,Why did Sydney do this?,know more about Hillary Clinton,become friends with Hillary Clinton,get her glasses,A
104,Cameron left the Halloween party early and drove home as fast as they could.,Why did Cameron do this?,get home to a sick dog,take the child to the doctor,go to bed,C
105,Kendall lost their shirt and walked around topless.,How would you describe Kendall?,ashamed,embarassed,in trouble,B
106,Taylor got louder as they raised their voice because of the altercation.,Why did Taylor do this?,yell at them,So people would ignore her,be obnoxious,A
107,Kai knew that things were getting out of control and managed to keep his temper in check.,How would Others feel as a result?,relieved,anxious,scared,A
108,Tom gave Sydney a red scarf. Sydney set it on fire.,How would you describe Sydney?,hot tempered,angry at Tom,bad that she had destroyed it,A
109,Austin built a mall on the site where the ruins were found.,What does Austin need to do before this?,bring a local attraction,remove the artifacts,find a new site,B
110,aubrey helped sasha move because they were good friends and sasha needed help.,How would Sasha feel as a result?,happy to have assistance,annoyed with aubrey,sad to have assistance,A
111,Cameron arrived at the restaurant and sat at their table.,What will Cameron want to do next?,learn about food,order food,eat,B
112,Alex and his brother didn't have much in common. They went on a camping trip and Alex grew closer to their brother.,How would Others feel as a result?,lonely,happy,upset,B
113,"Remy, their partner Joe and family were out for dinner when Joe suddenly asked Remy to marry them.  Remy smiled and answered the question happily saying yes of course.",What will Others want to do next?,continue her relationship with Joe through marriage,hug them,criticize them,B
114,Riley was in pain.,How would Riley feel afterwards?,aware,Painful,Great,B
115,Jesse is patient and hardworking and hungry in the morning.,How would you describe Jesse?,ill prepared,Exhausted and starved,thoughtful,B
116,Ash and Sasha have been dating for a long time.,Why did Ash do this?,get protection,keep dating,affectionate,C
117,Tracy understood Casey's mood better once they sat down and talked it out together.,What will Casey want to do next?,hug Tracy,be mad at Tracy,reach an understanding with Casey,C
118,Robin took a very long time to make up their mind of what to wear on their date that night.,What will Robin want to do next?,look her best,cancel the date,go on a date,C
119,Bailey was a new student at the local high school in town.,How would Others feel as a result?,glad,Excited to make new friends,Nervous about her first day,B
120,Skylar ate too much sweets and chocolate and drank too much sugary juice and the dentist told her she had a cavity.,How would you describe Skylar?,only eats sugar free foods,disgusted,has a sweet tooth,C
121,Aubrey fed Tracey's kids ice cream after Tracey said the kids were allergic.,What will happen to Aubrey?,get in trouble,depressed,laugh,A
122,Quinn cried their eyes out because no one loved them at all.,How would Quinn feel afterwards?,depressed,lonley,all alone,A
123,Riley had a lot of friends.,What will happen to Riley?,they will play with Riley,they will like Riley,interacted outside the home a lot,A
124,Sasha grabbed Robins head and gave it a good shake.,Why did Sasha do this?,joke around,bully,better,A
125,Jesse wanted to get fresh apples and went apple picking at the local farm.,How would you describe Jesse?,someone who wants their kids to be healthy,someone who enjoys healthy life style,tired,B
126,Bailey asked Sasha's grandma if they could eat the cookies now.,Why did Bailey do this?,did this because she was hungry,eat cookies next,did this to learn to swim,A
127,Jesse hired Bailey to impersonate to take the SATs.,What does Bailey need to do before this?,research how to impersonate someone,needed to be corrupt,prepare to impersonate jesse,A
128,"Skylar was getting close to the deadline, so Skylar put their mind to the task.",Why did Skylar do this?,finish the job,focus very hard,work very hard,A
129,"Cameron and Aubrey were dancing at a friend's wedding, then the music changed to a slow song and Cameron threw Aubrey's arms around them and started swaying.",What will Cameron want to do next?,stop dancing to the slow song,smile at Aubrey,dance with Cameron,B
130,Riley laid down their arms and issued a long but effective peace treaty to be signed.,What will Riley want to do next?,good,lazy,did this for peace,C
131,"There was a fire, Sasha grabbed the extinguisher and saved the home from destruction.",How would you describe Sasha?,This typical design from a patent by Brooks,anxious but happy,sad to save the home,B
132,Remy told Kai that they wanted to go out with them on a serious date.,How would you describe Remy?,in love,negative,awkward,A
133,Skylar wasn't very good at the game and ended up losing their character.,What will Skylar want to do next?,Start the game over,they need to be out of practice,Throw the controller,A
134,Addison could not find a coupon to IHOP. They felt bad about it.,What will Addison want to do next?,needed to try to find the coupon,go,needed to look for the coupon,B
135,Jordan shared their experience with the party. He lost 3 levels doing so.,What will happen to his party members?,likely gain a level,go cry,be disappointed,C
136,"Jordan wanted to tell Tracy a secret, so Jordan leaned towards Tracy.",Why did Jordan do this?,make sure no one else could hear,listen to Jordan,acknowledge Jordan,A
137,Jordan paid his debt to society by completing several hours of community service.,What does Jordan need to do before this?,volunteer to do community service,commit a crime against society,be a law-abiding citizen all the time,B
138,Skylar put their mind to the task because it was complicated and required full attention.,What will Skylar want to do next?,review details,control time,Think,A
139,Aubrey met a creepy stranger at the park who was trying to get Aubrey to go home with them.,What will happen to Others?,be kidnapped,want to stop the stranger,be saved by police,B
140,Addison threw a pie on the character to make the play more humorous.,Why did Addison do this?,make the audience cry,have the play categorized as a comedy,pick up a pie,B
141,Jan lit a fire under her coworkers because they wanted to start a fight.,What will Jan want to do next?,a trouble maker,keep quiet,get everyone angry,C
142,Alex rendered Sasha's service and was pleased with her attention to detail.,What will Alex want to do next?,fire her,get the best service,hire her again,C
143,Casey ordered a package with priority shipping but two weeks passed and Casey never received the package.,What will Casey want to do next?,wait for the order,make a complaint,wait another week,B
144,Sasha got revenge on her friends for the trick they played on her.,How would Others feel as a result?,Others would laugh that Sasha got them back,empty inside,guilty and ashamed,C
145,Skylar got a cast on her leg because they were in a car accident.,What will Skylar want to do next?,lay in bed,get into another accident,better,A
146,Carson shook Jan's head again after she was very angry at him.,Why did Carson do this?,ease the tension of the situation,speak to Jan,yell at Jan,C
147,Remy left their money on a foreign bank account that was overseas.,Why did Remy do this?,avoid taxes,save the money,hide the money,A
148,Casey wrapped Sasha's hands around him because they are in a romantic relationship.,How would you describe Casey?,very loving towards Sasha,wanted,being kept warm by Sasha,A
149,Kai was only trying to make fun of Cameron although Cameron took Kai's compliment seriously.,How would Cameron feel afterwards?,angry at Kai,pleased with Kai,glad for taking it seriously,A
150,Kendall showed off her new car to all of their friends.,How would their friends feel as a result?,like they want to get one,boastful,proud,A
151,Taylor gave Kai a lot to think about.,What will happen to Taylor?,not talk to Kai,Research the information,not give out the information,B
152,Riley required every detail of the new project but he only received a partial specification.,How would Riley feel afterwards?,satisfied,productive,frustrated,C
153,Riley was coming home from work and suddenly began to hurt all over.,How would you describe Riley?,a hard worker,would be tired,sore,C
154,Carson tried to fight Robin last night because Robin hurt Carson a lot.,What will Carson want to do next?,apologize,do nothing,hurt Robin,C
155,remy trusted the bank with his money so he left the money on an account.,How would Others feel as a result?,as nervous,as content,as uptight,B
156,Kai made a career out of his hobby of crafting wood furniture by hand.,How would you describe Kai?,Kais dreams vanished,busy,dedicated to his dreams,C
157,Jordan left their book in the library after studying all day.,What will Jordan want to do next?,Ask people if they've seen the book,go home,Go the library and hide the book,A
158,Jesse showed off her brand new car to Sydney's friends to make the jealous.,How would you describe Jesse?,upset,generous,conceited,C
159,Taylor decided to take the bus based on their experience with the traffic.,How would you describe Taylor?,As someone who thought about it,relieved,relaxed,A
160,Sydney gave Aubrey an estimate for how much their house is worth.,What will Aubrey want to do next?,show another house,sell their house,change their house,B
161,Quinn knew Ash well enough that they broken into and stole a jacket from Ash's locker.,How would Quinn feel afterwards?,encouraged,ashamed,grateful,B
162,Cameron picked Robin up from the airport after Robin spent many years living in oversea.,Why did Cameron do this?,welcome friend,would need to get a room ready for Robin,Caemron would need to find out what time Robin was arriving,A
163,Alex paid money to get some expert advice on all of the details.,Why did Alex do this?,did not need any information,read through all of the details,make an educated choice,C
164,Aubrey was a police officer that pulled a driver over for speeding down the highway one day.,What will Aubrey want to do next?,apologize,run away from the driver,talk to the driver,C
165,Jordan took their mother to the shoe store to buy new shoes for running.,How would Jordan feel as a result?,like a good son,VERY LOVING,like a bad son,A
166,The beat was so funky and so fresh that Austin moved their body to the music.,Why did Austin do this?,let themselves go,dance more,invite others to dance,A
167,Austin just got a big bonus from the company.,What will happen to Others?,hungry,work harder for the company,receive more money from the company,B
168,"After the first solution failed, Robin had to brainstorm a better idea.",What will Others want to do next?,adopt the new solution,question Robin's motives,question Robin's authority,A
169,"Jan went out with Quinn's friends, but left because they had work in the morning.",Why did Jan do this?,get enough sleep,drive to her home,go to bed later,A
170,Taylor made a cake that was their mother's favorite.  It was their mother's birthday.,How would you describe Taylor?,very considerate,proud,happy,A
171,Jesse made some bad decisions in life and Lee stopped talking to them.,How would Lee feel as a result?,struggling internally,quite bored,very guilty,A
172,Riley was Jesse's girlfriend and had just found out Jesse was cheating on them.,What will happen to Riley?,try to be friends with Jesse'd new girl,hit Jesse and get arrested,get dumped,C
173,"Austin gave birth on Sunday, and was home with the new baby my Tuesday.",What does Austin need to do before this?,take care of the baby,become infertile with the child,get to the hospital,C
174,Remy was a hard worker at an insurance company. They were working late.,Why did Remy do this?,get a job at an insurance company,get rich,receive an assignment to work on,B
175,Remy saved the town from destruction after the tornado had hit.,How would Others feel as a result?,very grateful,glad that they saved the town,very bitter,A
176,"An old woman dropped her groceries outside of the store, Cameron went out of her way to help the woman collect her items.",Why did Cameron do this?,Go home,Walk to his car,a good person,C
177,"After graduating high school and being accepted to college, Casey decided to study philosophy, because Casey valued ethics highly.",What does Casey need to do before this?,read every philosophy text he can find,become a philospher,needed to register for the program,C
178,Rylie is teaching Sasha how to swim.  Riley told Sasha to hold her breath.,How would Riley feel afterwards?,tired of teaching Sasha how to swim,good about teaching Sasha to swim,exhausted,B
179,Aubrey was practicing singing and they sound really good.,What will Aubrey want to do next?,talk about songs,show their friends how well they sing,be a good singer,B
180,kendall was a hard worker so she kept the ball rolling on the project.,Why did Kendall do this?,complete the project,alleviate boredom,impress her parents,A
181,Jordan took their son to the shoe store to get some soccer shoes.,What does Jordan need to do before this?,buy shoes,Get lost on the way,Count his money,C
182,"After Bailey went to bed, Carson crept into the kitchen and ate Bailey's candy.",Why did Carson do this?,begin a new weight loss diet,give Bailey all of the candy,enjoy a late night snack,C
183,Quinn moved into a new house after their old one burned down in a fire.,How would Quinn feel afterwards?,like he lost everything,like going back home,practical,A
184,Kai decided to stay at the beach house an extra week.,Why did Kai do this?,was having her apartment fumigated,swim every morning before breakfast,loves the beach and didn't want to leave,C
185,Remy understood every word of what their teacher was teaching.,How would you describe Remy?,that he understood the subject,As someone that listened to the teacher,much better informed,B
186,"Feeling a bit bored and tired, Kai watched anything.",What will Kai want to do next?,keep searching for other things to watch,work hard,be enjoying himself fully,A
187,Aubrey was practicing singing and they sound really good.,What will Aubrey want to do next?,talk about songs,show their friends how well they sing,be a good singer,B
188,Riley was the best of friends with the boy and the others were relieved they had someone to lean on.,What will Others want to do next?,talk with the boy,relax about them next,help the boy,A
189,Skylar was sick and had to cancel concert plans with Sydney.,What will Sydney want to do next?,find someone else to go with,get mad,rest in bed,A
190,Jan lit a fire under her coworkers for slacking off a lot.,How would Jan feel afterwards?,ashamed,Dominant,disgruntled,B
191,Sydney was writing the story creatively and wanted to give the reader Riley's perspective.,Why did Sydney do this?,assist sydney,wanted to help the author write,wanted to make it interesting,C
192,Quinn knew what was going on after seeing the cashier stealing from the till.,What will Quinn want to do next?,work with the cashier,needed to steal from the till too,report the crime,C
193,Skylar entered the classroom at school and made fun of everyone for being there on time.,What will Others want to do next?,tell skylar to keep it up,try to dodge a late detention,avoid skylar,C
194,Jan gave Sydney a necktie and Sydney put it on and it looked really good.,What does Jan need to do before this?,congratulate him,dress him up more,of gotten out a neck tie,C
195,Addison went fishing and brought her brother with her.,What will Addison want to do next?,bate a hook next,go to school next,did this to be friendly,A
196,Jordan taught the children nutrition and brought new foods for them to try which affected the children's health.,What will Jordan do next?,eat the good nutritious foods in front of the children and let them eat cake,bring in more and more unusual foods for the children to try that are nutritious,teach the children more and more about the healthy aspects of cake,B
197,Tracy wanted something to do over the weekend. Tracy went camping during the weekend.,Why did Tracy do this?,need to pack a water bottle,was bored,need to pack a tent,B
198,Sydney is Addison's boyfriend at the local high school.,What will happen to Addison?,get a kiss,run away from Sydney,hit Sydney,A
199,Riley was on the beach near some birds that just flew away. They went after them.,What does Riley need to do before this?,Follow the birds,be able to move,Watch the birds,C
200,"As usual, Aubrey went to the park but this morning, he met a stranger at the park who jogged with him.",What will Others want to do next?,win against Aubrey,have a nice jog,go to eat,B
201,Jesse stood Cameron up instead of backing the person who was accusing him of stealing money.,How would Cameron feel as a result?,sad,angry,happy,B
202,Jesse is very angry with Riley and says some pretty awful things. Riley looks at Jesse with hurt filled eyes.,What emotion is Riley likely experiencing?,start crying,start ignoring Jesse,Hurt and Sadness,C
203,Remy answered the question that was intended for someone else.,How would someone else feel as a result?,very happy,they were rude,very smart,B
204,Austin predicted cancer rates in patients would continue to go down due to the new breakthrough treatment they developed.,How would Austin feel afterwards?,happy with the treatment,angry with the treatment,disappointed with the treatment,A
205,Kendall altered Lee's course of action after seeing a grave mistake in his plans.,How would Kendall feel afterwards?,angry that Lee messed up,frustrated that Lee offered advice,glad to have been paying attention,C
206,Quinn was spending the day in the park with their friends.,What will Quinn want to do next?,leave it,go home,catch the frisbee,C
207,Bailey felt bad when she saw the homeless lady and gave her twenty dollars.,How would you describe Bailey?,evil,thoughtful,uncaring,B
208,Taylor asked the one officer for help in unlocking their car.,How would you describe Taylor?,a forgetful person,a thoughtful person,a trustworthy man,A
209,Carson was not exhibiting proper behavior in the military. Austin went ahead and discharged Carson of his duty.,How would Austin feel afterwards?,sad,good,proud,A
210,Tracy gave it to their friend because they weren't going to need it anymore.,What does Tracy need to do before this?,Find the friend,Ask why,make sure their friend will want it,C
211,Alex grew closer to their cousin and spent less time with the others.,How would Others feel as a result?,neglecting his friends,ignored,like they are close with their family,B
212,Jan wanted to help some low income kids go to summer camp. Jan raised money to help.,How would Jan feel as a result?,guilty for it,upset about it,good about it,C
213,Taylor had not had contact with this friend for ten years and wonder how their life was going.,How would Taylor feel afterwards?,felt curious,felt angry,distraught,A
214,Tracy heard a faint buzzing noise and immediately ran for her life.,How would you describe Tracy?,scared of bees,sad,not phased by bees,A
215,"While reading a story about animal abuse, Quinn felt a lot of pain.",How would you describe Quinn?,allergic,sympathetic,emotional,B
216,Alex saw Taylor talking to another guy at the dance that night.,What will Alex want to do next?,buy a pizza,go home,dance with Taylor's friend,C
217,Robin was too embarrassed to explain so she let Carson explain why it happened.,What will happen to Carson?,be shy,be quiet,be confronted by someone,C
218,"Riley and Sydney are best friends, Riley sold Sydney's painting to the bidder after she stole it from her house.",What will happen to Sydney?,aweful she never expected this,lie about it,take the money,A
219,Taylor's friend was grieving the loss of his grandfather last week.,What will happen to Taylor?,comfort Taylor's friend,be thanked by her grandfather,hugged by her friend,C
220,Jesse showed Sydney's friends how to bake a cake but it was left in the oven too long and burned.,What will Jesse want to do next?,teach everyone how to bake,Give the cake to friends,Bake a new cake,C
